index,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children
53,0,3,2015,27,2,0,1,2,0
54,0,1,2015,27,2,0,1,2,0
55,0,1,2015,27,2,0,1,2,2
56,0,0,2015,27,2,0,1,2,0
57,0,0,2015,27,2,0,1,2,0
58,0,0,2015,27,2,0,1,2,0
59,0,14,2015,27,2,0,2,2,0
60,0,10,2015,27,2,0,2,2,0
61,0,5,2015,27,2,0,2,2,0
62,0,17,2015,27,2,0,3,2,0
63,0,93,2015,27,2,0,3,2,0
64,1,3,2015,27,2,0,3,2,0
65,0,10,2015,27,3,0,2,2,2
66,0,3,2015,27,3,0,2,2,0
67,0,51,2015,27,3,0,2,2,0
68,1,71,2015,27,3,0,2,3,0
69,1,63,2015,27,3,0,2,2,0
70,1,62,2015,27,3,0,2,2,0
71,1,101,2015,27,3,0,2,2,0
72,0,2,2015,27,3,0,2,2,0
73,0,15,2015,27,3,0,2,2,0
74,1,51,2015,27,3,0,2,3,0
75,0,3,2015,27,3,1,2,2,0
76,1,48,2015,27,3,1,2,2,0
77,0,2,2015,27,3,2,2,1,0
78,0,72,2015,27,3,2,2,2,0
79,0,81,2015,27,3,2,6,3,0
80,0,99,2015,27,3,2,7,2,0
81,1,368,2015,27,3,3,7,2,0
82,0,364,2015,27,3,3,7,2,0
83,1,81,2015,27,3,3,7,2,0
84,0,99,2015,27,3,3,7,2,0
85,0,324,2015,27,3,4,10,2,0
86,0,69,2015,27,3,4,10,2,0
87,1,79,2015,27,3,6,15,2,1
88,0,12,2015,27,3,0,1,2,0
89,0,9,2015,27,3,0,1,2,0
90,0,1,2015,27,3,0,1,2,0
91,0,21,2015,27,3,0,1,2,0
92,0,9,2015,27,3,0,1,2,0
93,0,109,2015,27,3,0,1,2,0
94,1,109,2015,27,3,0,2,2,0
95,1,72,2015,27,3,0,2,2,0
96,1,63,2015,27,3,2,5,2,0
97,0,63,2015,27,3,2,5,3,0
98,0,101,2015,27,3,2,5,2,1
99,0,102,2015,27,3,2,5,2,0
100,0,4,2015,27,4,2,1,2,0
101,0,98,2015,27,4,2,1,2,0
102,0,92,2015,27,4,2,4,1,2
103,0,95,2015,27,4,2,4,2,0
104,0,102,2015,27,4,2,5,2,0
105,1,26,2015,27,4,2,5,2,2
106,1,73,2015,27,4,2,5,3,0
107,1,102,2015,27,4,2,5,2,0
108,0,115,2015,27,4,2,5,2,0
109,0,102,2015,27,4,2,5,2,0
110,0,86,2015,27,4,2,5,2,0
111,0,78,2015,27,4,2,5,2,0
112,0,52,2015,27,4,2,5,2,0
113,0,29,2015,27,4,2,6,3,0
114,1,101,2015,27,4,2,6,2,0
115,0,109,2015,27,4,2,6,2,0
116,0,92,2015,27,4,4,6,2,0
117,0,92,2015,27,4,4,6,2,0
118,0,79,2015,27,4,4,6,2,1
119,0,2,2015,27,4,0,1,2,2
120,0,30,2015,27,4,0,1,2,0
121,1,51,2015,27,4,0,1,1,0
122,1,36,2015,27,4,0,1,1,0
123,1,73,2015,27,4,0,1,2,0
124,1,33,2015,27,4,0,1,2,0
125,0,32,2015,27,4,0,1,4,0
126,0,8,2015,27,4,0,1,2,0
127,0,100,2015,27,4,1,1,2,0
128,0,1,2015,27,4,1,1,2,0
129,0,100,2015,27,4,1,1,2,0
130,0,100,2015,27,4,1,1,2,0
131,0,9,2015,28,5,1,0,2,0
132,1,5,2015,28,5,1,0,2,0
133,0,0,2015,28,5,1,0,2,0
134,0,9,2015,28,5,1,0,1,0
135,0,2,2015,28,5,1,0,1,0
136,0,2,2015,28,5,1,0,2,0
137,0,9,2015,28,5,1,0,1,0
138,1,5,2015,28,5,1,0,2,0
139,0,2,2015,28,5,1,0,2,0
140,0,44,2015,28,5,2,0,3,0
141,0,80,2015,28,5,2,0,2,0
142,0,97,2015,28,5,2,2,2,0
143,0,109,2015,28,5,2,3,2,1
144,0,30,2015,28,5,2,3,2,0
145,0,64,2015,28,5,2,3,2,0
146,0,39,2015,28,5,2,4,2,0
147,0,90,2015,28,5,2,4,2,0
148,1,34,2015,28,5,2,4,2,2
149,1,93,2015,28,5,2,5,2,0
150,1,102,2015,28,8,1,4,2,0
151,0,113,2015,28,8,2,4,2,0
152,1,280,2015,28,8,2,5,2,1
153,0,96,2015,28,8,2,5,2,0
154,0,394,2015,28,8,2,5,2,0
155,0,33,2015,28,8,2,5,2,0
156,0,82,2015,28,8,2,6,3,0
157,0,100,2015,28,8,2,7,3,0
158,0,100,2015,28,8,2,7,2,0
159,0,17,2015,28,9,0,1,2,2
160,0,68,2015,28,9,0,2,3,0
161,0,12,2015,28,9,0,2,2,2
162,1,77,2015,28,9,0,3,2,0
163,1,24,2015,28,9,0,3,2,2
164,1,44,2015,28,9,0,3,2,2
165,0,78,2015,28,9,0,3,2,0
166,1,17,2015,28,9,1,3,2,0
167,1,103,2015,28,9,1,3,2,0
168,0,16,2015,28,9,1,3,1,0
169,0,14,2015,28,9,2,3,2,0
170,0,77,2015,28,9,2,3,2,0
171,0,90,2015,28,9,2,5,2,0
172,0,90,2015,28,9,2,5,2,0
173,0,90,2015,28,9,2,5,2,0
174,0,366,2015,28,9,2,5,2,0
175,0,249,2015,28,9,2,5,2,0
176,1,69,2015,28,9,2,6,2,0
177,0,10,2015,28,10,0,1,2,0
178,0,22,2015,28,10,0,2,2,0
179,0,91,2015,28,10,0,2,2,0
180,0,23,2015,28,10,0,2,2,0
181,0,11,2015,28,10,0,2,2,0
182,0,3,2015,28,10,0,2,2,0
183,0,13,2015,28,10,0,2,2,1
184,0,108,2015,28,10,0,2,2,0
185,0,91,2015,28,10,0,2,2,0
186,0,37,2015,28,10,1,2,2,0
187,0,21,2015,28,10,1,2,2,0
188,0,106,2015,28,10,1,2,2,0
189,0,30,2015,28,10,2,2,2,0
